CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
73989,E00013841,E00013841,Output Areas and Small Areas,OASA,332,193,13,0,73,6,0,1,1,8,1,0,0,11,0,12,4,0,9
73990,E00013842,E00013842,Output Areas and Small Areas,OASA,251,176,3,0,36,2,0,0,2,1,0,9,1,2,4,5,4,6,0
73991,E00013843,E00013843,Output Areas and Small Areas,OASA,184,83,4,0,42,5,3,2,2,2,2,1,0,8,9,14,4,0,3
73992,E00013844,E00013844,Output Areas and Small Areas,OASA,267,157,10,0,48,7,3,3,4,2,0,0,7,0,12,5,3,0,6
73993,E00013845,E00013845,Output Areas and Small Areas,OASA,247,104,8,0,42,5,6,6,3,7,0,5,1,1,39,9,8,0,3
73994,E00013846,E00013846,Output Areas and Small Areas,OASA,356,166,10,4,54,13,0,1,15,0,1,7,5,5,26,11,33,4,1
73995,E00013847,E00013847,Output Areas and Small Areas,OASA,312,76,4,0,51,7,13,0,2,1,0,14,1,2,77,34,10,0,20
73996,E00013848,E00013848,Output Areas and Small Areas,OASA,305,58,9,0,39,8,0,0,16,6,2,12,0,23,62,17,20,3,30
73997,E00013849,E00013849,Output Areas and Small Areas,OASA,301,57,4,0,44,12,7,6,11,0,4,19,1,7,66,27,17,5,14
73998,E00013850,E00013850,Output Areas and Small Areas,OASA,259,102,14,1,51,11,0,2,4,2,1,15,0,1,22,19,13,1,0
73999,E00013851,E00013851,Output Areas and Small Areas,OASA,305,152,11,0,57,11,2,6,9,4,0,8,6,1,4,21,6,5,2
74000,E00013852,E00013852,Output Areas and Small Areas,OASA,220,119,2,0,45,8,1,1,3,0,0,12,2,3,10,3,8,0,3
74001,E00013853,E00013853,Output Areas and Small Areas,OASA,276,147,10,0,42,4,3,3,6,0,0,16,0,7,13,14,7,2,2
74002,E00013854,E00013854,Output Areas and Small Areas,OASA,223,109,9,0,31,12,5,3,2,6,1,0,1,4,5,26,6,2,1
74003,E00013855,E00013855,Output Areas and Small Areas,OASA,301,154,17,0,33,2,3,1,8,2,5,16,0,12,8,15,8,3,14
74004,E00013856,E00013856,Output Areas and Small Areas,OASA,185,111,11,0,14,6,1,0,5,0,4,0,1,8,3,7,4,0,10
74005,E00013857,E00013857,Output Areas and Small Areas,OASA,322,84,7,1,31,18,8,1,9,11,0,12,2,8,53,12,27,6,32
74006,E00013858,E00013858,Output Areas and Small Areas,OASA,341,122,12,0,51,9,1,4,1,1,0,13,0,8,57,33,14,4,11
74007,E00013859,E00013859,Output Areas and Small Areas,OASA,435,164,18,0,129,6,2,5,11,8,7,4,30,12,11,6,3,10,9
74008,E00013860,E00013860,Output Areas and Small Areas,OASA,332,127,15,7,33,13,1,9,3,6,0,14,3,5,45,24,12,4,11
74009,E00013861,E00013861,Output Areas and Small Areas,OASA,297,136,5,0,39,17,3,1,6,6,0,3,1,10,26,19,7,4,14
74010,E00013862,E00013862,Output Areas and Small Areas,OASA,204,100,9,0,27,0,3,2,8,0,0,0,8,0,16,17,9,5,0
74011,E00013863,E00013863,Output Areas and Small Areas,OASA,240,105,7,0,40,16,3,4,13,1,0,8,0,4,16,11,8,0,4
74012,E00013864,E00013864,Output Areas and Small Areas,OASA,314,147,16,0,58,13,2,7,7,3,2,9,4,6,17,7,5,0,11
74013,E00013865,E00013865,Output Areas and Small Areas,OASA,270,140,3,0,35,4,0,4,10,1,0,3,2,2,22,18,18,0,8
74014,E00013866,E00013866,Output Areas and Small Areas,OASA,321,187,15,0,48,8,0,3,6,1,1,6,0,4,15,5,2,3,17
74015,E00013867,E00013867,Output Areas and Small Areas,OASA,289,161,7,3,43,11,4,3,11,3,1,0,0,3,7,5,16,0,11
74016,E00013868,E00013868,Output Areas and Small Areas,OASA,303,174,12,0,46,8,5,2,0,3,0,6,0,4,7,14,6,0,16
74017,E00013869,E00013869,Output Areas and Small Areas,OASA,295,119,8,0,46,6,9,13,14,8,0,6,7,5,19,10,17,7,1
74018,E00013870,E00013870,Output Areas and Small Areas,OASA,265,154,15,0,56,1,3,6,4,6,0,2,2,0,6,4,2,0,4
74019,E00013871,E00013871,Output Areas and Small Areas,OASA,300,148,12,0,26,10,15,9,4,1,0,7,4,2,27,9,13,1,12
74020,E00013872,E00013872,Output Areas and Small Areas,OASA,277,151,12,0,56,3,1,12,9,2,0,1,2,6,8,1,9,3,1
74021,E00013873,E00013873,Output Areas and Small Areas,OASA,278,158,17,0,44,7,3,1,8,1,0,0,1,3,6,6,9,5,9
74022,E00013874,E00013874,Output Areas and Small Areas,OASA,224,121,8,0,42,2,2,2,5,9,1,0,7,9,3,0,5,0,8
74023,E00013875,E00013875,Output Areas and Small Areas,OASA,365,169,6,1,89,1,2,12,8,12,0,0,13,16,9,11,4,5,7
