CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,AB(16-64),C1(16-64),C2(16-64),DE(16-64)
64797,E00004371,E00004371,Output Areas and Small Areas,OASA,15,45,19,70
64798,E00004372,E00004372,Output Areas and Small Areas,OASA,63,55,10,68
64799,E00004373,E00004373,Output Areas and Small Areas,OASA,26,66,25,99
64800,E00004374,E00004374,Output Areas and Small Areas,OASA,23,66,15,52
64801,E00004375,E00004375,Output Areas and Small Areas,OASA,102,39,6,11
64802,E00004376,E00004376,Output Areas and Small Areas,OASA,92,87,38,82
64803,E00004377,E00004377,Output Areas and Small Areas,OASA,14,32,14,83
64804,E00004378,E00004378,Output Areas and Small Areas,OASA,102,62,13,36
64805,E00004379,E00004379,Output Areas and Small Areas,OASA,127,42,5,15
64806,E00004380,E00004380,Output Areas and Small Areas,OASA,45,64,34,84
64807,E00004381,E00004381,Output Areas and Small Areas,OASA,99,90,14,5
64808,E00004382,E00004382,Output Areas and Small Areas,OASA,85,84,15,23
64809,E00004383,E00004383,Output Areas and Small Areas,OASA,88,36,18,13
64810,E00004384,E00004384,Output Areas and Small Areas,OASA,69,48,17,14
64811,E00004385,E00004385,Output Areas and Small Areas,OASA,93,45,9,12
64812,E00004386,E00004386,Output Areas and Small Areas,OASA,107,53,7,7
64813,E00004387,E00004387,Output Areas and Small Areas,OASA,67,59,9,13
64814,E00004388,E00004388,Output Areas and Small Areas,OASA,104,47,6,11
64815,E00004389,E00004389,Output Areas and Small Areas,OASA,113,55,16,12
64816,E00004390,E00004390,Output Areas and Small Areas,OASA,108,42,26,24
64817,E00004391,E00004391,Output Areas and Small Areas,OASA,108,72,13,16
64818,E00004392,E00004392,Output Areas and Small Areas,OASA,57,57,18,14
64819,E00004393,E00004393,Output Areas and Small Areas,OASA,58,56,20,52
64820,E00004394,E00004394,Output Areas and Small Areas,OASA,47,64,12,23
64821,E00004395,E00004395,Output Areas and Small Areas,OASA,108,53,23,15
64822,E00004396,E00004396,Output Areas and Small Areas,OASA,49,65,43,49
64823,E00004397,E00004397,Output Areas and Small Areas,OASA,31,64,37,84
64824,E00004398,E00004398,Output Areas and Small Areas,OASA,53,51,12,37
64825,E00004399,E00004399,Output Areas and Small Areas,OASA,36,66,38,92
64826,E00004400,E00004400,Output Areas and Small Areas,OASA,36,61,25,88
64827,E00004401,E00004401,Output Areas and Small Areas,OASA,115,47,3,7
64828,E00004402,E00004402,Output Areas and Small Areas,OASA,121,34,4,9
64829,E00004403,E00004403,Output Areas and Small Areas,OASA,109,66,3,1
64830,E00004404,E00004404,Output Areas and Small Areas,OASA,101,35,1,4
64831,E00004405,E00004405,Output Areas and Small Areas,OASA,132,49,5,5
64832,E00004406,E00004406,Output Areas and Small Areas,OASA,98,47,4,6
64833,E00004407,E00004407,Output Areas and Small Areas,OASA,108,46,4,7
64834,E00004408,E00004408,Output Areas and Small Areas,OASA,120,37,0,5
64835,E00004409,E00004409,Output Areas and Small Areas,OASA,75,53,18,29
64836,E00004410,E00004410,Output Areas and Small Areas,OASA,106,36,11,15
64837,E00004411,E00004411,Output Areas and Small Areas,OASA,104,52,5,6
64838,E00004412,E00004412,Output Areas and Small Areas,OASA,109,65,9,4
64839,E00004413,E00004413,Output Areas and Small Areas,OASA,121,31,3,2
64840,E00004414,E00004414,Output Areas and Small Areas,OASA,112,70,8,11
64841,E00004415,E00004415,Output Areas and Small Areas,OASA,146,30,12,20
64842,E00004416,E00004416,Output Areas and Small Areas,OASA,83,67,0,11
64843,E00004417,E00004417,Output Areas and Small Areas,OASA,131,54,6,0
64844,E00004418,E00004418,Output Areas and Small Areas,OASA,101,58,15,4
64845,E00004419,E00004419,Output Areas and Small Areas,OASA,110,71,12,8
64846,E00004420,E00004420,Output Areas and Small Areas,OASA,107,48,4,4
64847,E00004421,E00004421,Output Areas and Small Areas,OASA,150,49,4,12
64848,E00004422,E00004422,Output Areas and Small Areas,OASA,79,37,3,8
64849,E00004423,E00004423,Output Areas and Small Areas,OASA,120,37,3,7
64850,E00004424,E00004424,Output Areas and Small Areas,OASA,109,54,5,7
64851,E00004425,E00004425,Output Areas and Small Areas,OASA,151,72,2,10
64852,E00004426,E00004426,Output Areas and Small Areas,OASA,110,77,3,9
64853,E00004427,E00004427,Output Areas and Small Areas,OASA,104,42,1,5
64854,E00004428,E00004428,Output Areas and Small Areas,OASA,88,43,2,7
64855,E00004429,E00004429,Output Areas and Small Areas,OASA,103,62,9,8
64856,E00004430,E00004430,Output Areas and Small Areas,OASA,24,22,6,17
64857,E00004431,E00004431,Output Areas and Small Areas,OASA,119,30,0,9
64858,E00004432,E00004432,Output Areas and Small Areas,OASA,126,60,7,1
64859,E00004433,E00004433,Output Areas and Small Areas,OASA,138,56,5,7
64860,E00004435,E00004435,Output Areas and Small Areas,OASA,60,64,18,28
64861,E00004436,E00004436,Output Areas and Small Areas,OASA,141,60,4,10
64862,E00004437,E00004437,Output Areas and Small Areas,OASA,111,34,11,15
64863,E00004438,E00004438,Output Areas and Small Areas,OASA,94,59,4,12
64864,E00004439,E00004439,Output Areas and Small Areas,OASA,117,28,1,1
64865,E00004440,E00004440,Output Areas and Small Areas,OASA,120,42,0,2
64866,E00004441,E00004441,Output Areas and Small Areas,OASA,103,61,16,18
64867,E00004442,E00004442,Output Areas and Small Areas,OASA,25,63,8,58
64868,E00004444,E00004444,Output Areas and Small Areas,OASA,51,70,36,118
64869,E00004445,E00004445,Output Areas and Small Areas,OASA,65,68,10,41
64870,E00004446,E00004446,Output Areas and Small Areas,OASA,54,57,25,76
64871,E00004447,E00004447,Output Areas and Small Areas,OASA,30,6,3,2
64872,E00004448,E00004448,Output Areas and Small Areas,OASA,58,92,19,60
64873,E00004450,E00004450,Output Areas and Small Areas,OASA,87,106,27,78
64874,E00004451,E00004451,Output Areas and Small Areas,OASA,76,58,27,36
64875,E00004452,E00004452,Output Areas and Small Areas,OASA,78,98,8,48
64876,E00004453,E00004453,Output Areas and Small Areas,OASA,51,65,41,116
64877,E00004454,E00004454,Output Areas and Small Areas,OASA,51,113,41,107
64878,E00004455,E00004455,Output Areas and Small Areas,OASA,30,54,27,100
64879,E00004456,E00004456,Output Areas and Small Areas,OASA,26,57,35,83
64880,E00004457,E00004457,Output Areas and Small Areas,OASA,99,61,12,11
64881,E00004458,E00004458,Output Areas and Small Areas,OASA,114,99,37,62
64882,E00004459,E00004459,Output Areas and Small Areas,OASA,25,45,25,78
64883,E00004460,E00004460,Output Areas and Small Areas,OASA,17,52,18,45
64884,E00004461,E00004461,Output Areas and Small Areas,OASA,42,81,36,98
64885,E00004462,E00004462,Output Areas and Small Areas,OASA,66,59,17,19
64886,E00004463,E00004463,Output Areas and Small Areas,OASA,20,54,32,112
64887,E00004464,E00004464,Output Areas and Small Areas,OASA,2,8,3,14
64888,E00004465,E00004465,Output Areas and Small Areas,OASA,71,73,40,78
64889,E00004466,E00004466,Output Areas and Small Areas,OASA,115,59,7,4
64890,E00004467,E00004467,Output Areas and Small Areas,OASA,42,85,25,56
64891,E00004468,E00004468,Output Areas and Small Areas,OASA,24,101,57,93
64892,E00004469,E00004469,Output Areas and Small Areas,OASA,119,46,9,9
64893,E00004470,E00004470,Output Areas and Small Areas,OASA,85,70,20,73
64894,E00004471,E00004471,Output Areas and Small Areas,OASA,123,41,11,4
64895,E00004472,E00004472,Output Areas and Small Areas,OASA,76,83,24,98
