age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
1,2,9,-9,1,1,-9,11,-9,-9
75,1,2,-9,1,1,5,1,12,-9
31,1,4,-9,1,0,16,16,15,1
13,2,3,-9,1,0,-9,1,-9,-9
47,2,4,-9,5,2,2,15,12,2
1,1,4,-9,1,1,-9,7,-9,-9
21,1,4,-9,1,0,13,1,14,2
60,2,2,1,5,0,2,4,15,2
22,1,2,-9,1,1,13,1,14,2
21,1,5,-9,1,1,13,1,14,2
27,2,1,2,1,0,13,4,16,2
32,1,4,-9,1,1,2,1,15,3
85,2,1,-9,6,0,12,1,10,-9
54,1,1,-9,4,0,2,2,15,2
45,1,2,-9,5,0,1,1,15,4
30,1,2,1,1,0,2,4,15,1
38,2,4,-9,2,0,2,1,15,2
48,1,1,-9,1,0,15,2,11,4
30,2,3,-9,1,1,2,11,12,4
10,1,6,2,1,0,-9,8,-9,-9
32,2,3,-9,1,0,15,1,10,4
25,1,2,-9,1,0,2,4,15,1
27,1,2,-9,1,0,6,1,15,1
13,2,6,-9,1,0,-9,1,-9,-9
42,1,1,-9,1,0,2,1,15,1
11,1,3,-9,1,0,-9,1,-9,-9
35,1,2,-9,1,0,2,16,16,2
27,2,1,-9,1,1,2,9,15,1
30,1,9,-9,2,2,5,11,11,4
47,1,2,2,1,1,13,14,12,4
34,2,1,-9,1,0,2,1,15,2
18,2,7,-9,1,0,13,1,14,2
59,2,2,-9,5,0,15,1,10,4
36,2,9,3,2,0,14,16,10,3
54,1,1,-9,1,1,2,2,12,3
25,1,3,-9,1,0,2,2,15,1
13,1,2,-9,1,0,-9,1,-9,-9
31,2,4,-9,5,0,15,16,10,4
41,2,1,-9,1,0,6,16,15,2
60,1,2,-9,2,1,2,1,15,1
47,2,1,-9,1,1,2,1,15,2
20,1,3,-9,1,0,13,1,14,2
21,2,3,-9,1,0,8,1,14,2
41,2,2,-9,2,0,2,12,16,3
18,2,5,1,1,0,11,18,11,2
57,1,1,-9,1,1,5,1,15,1
41,2,2,-9,1,0,15,1,10,2
6,2,3,-9,1,1,-9,11,-9,-9
26,1,2,-9,1,2,2,1,15,1
28,1,3,-9,1,1,2,1,15,4
26,2,4,-9,1,0,2,1,15,1
68,1,1,-9,5,1,12,1,14,-9
50,2,2,-9,1,1,7,1,12,2
27,1,3,-9,1,0,2,1,15,1
17,2,5,2,1,0,13,4,16,4
64,2,3,2,4,1,12,4,16,1
49,2,4,-9,4,1,2,1,14,2
44,2,5,-9,2,1,1,1,12,1
32,1,3,-9,1,1,2,1,15,3
48,1,5,3,2,1,2,11,16,4
16,2,4,-9,1,1,13,16,12,1
51,1,1,-9,1,0,2,1,12,2
70,2,2,-9,6,1,1,1,14,-9
57,2,6,-9,2,2,15,2,14,1
11,2,2,-9,1,0,-9,1,-9,-9
17,2,4,-9,1,1,13,1,12,4
34,2,3,2,4,0,11,14,12,2
14,2,3,-9,1,0,-9,8,-9,-9
56,2,3,-9,2,2,1,2,15,3
80,2,2,-9,6,1,12,2,10,-9
30,1,2,-9,2,1,2,1,15,2
85,2,2,3,6,0,15,9,10,-9
41,2,3,1,5,0,2,11,15,3
80,2,2,2,2,0,15,18,10,-9
13,1,3,-9,1,0,-9,15,-9,-9
29,1,3,1,2,0,7,17,10,4
37,1,4,2,2,0,1,13,10,4
85,2,2,2,6,0,1,18,12,-9
25,2,2,-9,1,0,2,1,13,3
64,1,1,-9,5,0,15,1,10,4
35,2,5,2,2,1,14,11,16,4
32,2,1,2,5,0,14,16,15,2
80,2,1,-9,1,0,12,2,15,-9
70,2,1,-9,4,0,12,1,12,-9
64,2,1,1,1,1,2,1,15,2
42,1,3,-9,1,0,2,1,15,3
7,1,2,1,1,0,-9,4,-9,-9
6,2,5,-9,1,1,-9,4,-9,-9
23,1,3,-9,1,1,2,1,15,1
44,2,3,-9,1,0,14,1,11,4
47,1,1,-9,5,0,2,2,11,3
4,1,4,-9,1,1,-9,14,-9,-9
